sampler,model,cost_sensitive,metric,mean,std
none,LogisticRegression,True,average_precision,0.8824228361712746,0.020434063400058714
none,LogisticRegression,True,roc_auc,0.9715902439024391,0.011730639655120001
none,LogisticRegression,True,f1_macro,0.7471132547698636,0.027393420279862257
none,LogisticRegression,True,f1_micro,0.9713586077222441,0.005902053941323966
none,LogisticRegression,True,precision_macro,0.6779224110026817,0.02667711189633721
none,LogisticRegression,True,recall_macro,0.9361311653116532,0.00883313637922182
none,LogisticRegression,True,balanced_accuracy,0.9361311653116532,0.00883313637922182
none,LogisticRegression,True,mcc,,
none,RandomForest,True,average_precision,0.8930158150084934,0.025187241893546118
none,RandomForest,True,roc_auc,0.9644800361336947,0.008125437159964968
none,RandomForest,True,f1_macro,0.9393582195357412,0.00748814266235165
none,RandomForest,True,f1_micro,0.9965018146836329,0.00040551045063168945
none,RandomForest,True,precision_macro,0.988340365039464,0.004369159018485577
none,RandomForest,True,recall_macro,0.8995956639566396,0.009628571616925331
none,RandomForest,True,balanced_accuracy,0.8995956639566396,0.009628571616925331
none,RandomForest,True,mcc,,
none,XGBoost,True,average_precision,0.8968049876399563,0.016895206524483827
none,XGBoost,True,roc_auc,0.9785797651309847,0.002160122662365117
none,XGBoost,True,f1_macro,0.9449245217792567,0.01188212924102066
none,XGBoost,True,f1_micro,0.9966329966329965,0.0007598997418769382
none,XGBoost,True,precision_macro,0.9644013455809285,0.019633620733597357
none,XGBoost,True,recall_macro,0.927650948509485,0.013397823437878107
none,XGBoost,True,balanced_accuracy,0.927650948509485,0.013397823437878107
none,XGBoost,True,mcc,,
none,MLP,True,average_precision,0.8773028907371829,0.02024868321934995
none,MLP,True,roc_auc,0.9604162601626017,0.014279785353411262
none,MLP,True,f1_macro,0.8776938359846339,0.05602242246722227
none,MLP,True,f1_micro,0.9902488084306267,0.006102741946350106
none,MLP,True,precision_macro,0.8466155984684577,0.08275490284733138
none,MLP,True,recall_macro,0.931070460704607,0.004714112199285689
none,MLP,True,balanced_accuracy,0.931070460704607,0.004714112199285689
none,MLP,True,mcc,,
smote,LogisticRegression,True,average_precision,0.879068413108336,0.023956429264322104
smote,LogisticRegression,True,roc_auc,0.968603071364047,0.012744544223043235
smote,LogisticRegression,True,f1_macro,0.7408553744684054,0.02034798507318314
smote,LogisticRegression,True,f1_micro,0.970309152127334,0.004780897703824943
smote,LogisticRegression,True,precision_macro,0.6718153104332139,0.019555041951096745
smote,LogisticRegression,True,recall_macro,0.9342650406504065,0.010267622642805755
smote,LogisticRegression,True,balanced_accuracy,0.9342650406504065,0.010267622642805755
smote,LogisticRegression,True,mcc,,
smote,RandomForest,True,average_precision,0.8868371534242175,0.020307701243206897
smote,RandomForest,True,roc_auc,0.9754422764227643,0.0027484949311080715
smote,RandomForest,True,f1_macro,0.9350877840307517,0.007586384311717147
smote,RandomForest,True,f1_micro,0.9959770868861778,0.0004829839965537227
smote,RandomForest,True,precision_macro,0.9465122849109274,0.012450626032623176
smote,RandomForest,True,recall_macro,0.9246520325203252,0.011585926216657804
smote,RandomForest,True,balanced_accuracy,0.9246520325203252,0.011585926216657804
smote,RandomForest,True,mcc,,
smote,XGBoost,True,average_precision,0.8840771103382186,0.02216276105639355
smote,XGBoost,True,roc_auc,0.9710383017163506,0.006306331584238473
smote,XGBoost,True,f1_macro,0.8976712423886295,0.01404157905190627
smote,XGBoost,True,f1_micro,0.992872447417902,0.0013392271486390819
smote,XGBoost,True,precision_macro,0.8700022486226878,0.02979215471635212
smote,XGBoost,True,recall_macro,0.9324037940379405,0.00800321451858034
smote,XGBoost,True,balanced_accuracy,0.9324037940379405,0.00800321451858034
smote,XGBoost,True,mcc,,
smote,MLP,True,average_precision,0.8671090009632488,0.014347280560578199
smote,MLP,True,roc_auc,0.9557741644083108,0.014766146167290387
smote,MLP,True,f1_macro,0.9289586870818161,0.005733666598480283
smote,MLP,True,f1_micro,0.9955835410380866,0.0004459328797580198
smote,MLP,True,precision_macro,0.9397563232104206,0.01615989140563166
smote,MLP,True,recall_macro,0.919120867208672,0.0035501316949026946
smote,MLP,True,balanced_accuracy,0.919120867208672,0.0035501316949026946
smote,MLP,True,mcc,,
adasyn,LogisticRegression,True,average_precision,0.8783684776370366,0.022452646947501848
adasyn,LogisticRegression,True,roc_auc,0.9678016260162602,0.01311522709218301
adasyn,LogisticRegression,True,f1_macro,0.6001497854839658,0.006487600027493129
adasyn,LogisticRegression,True,f1_micro,0.9086973632428178,0.006387182521845393
adasyn,LogisticRegression,True,precision_macro,0.5712393341497318,0.003163021791272178
adasyn,LogisticRegression,True,recall_macro,0.9216130081300813,0.005416893983851138
adasyn,LogisticRegression,True,balanced_accuracy,0.9216130081300813,0.005416893983851138
adasyn,LogisticRegression,True,mcc,,
adasyn,RandomForest,True,average_precision,0.8744214675841965,0.01982817786967339
adasyn,RandomForest,True,roc_auc,0.9792762420957543,0.0015948553053204918
adasyn,RandomForest,True,f1_macro,0.8941652487166127,0.01167661394462864
adasyn,RandomForest,True,f1_micro,0.9926100835191746,0.0009952168154917884
adasyn,RandomForest,True,precision_macro,0.8630894691082588,0.018678124143638664
adasyn,RandomForest,True,recall_macro,0.9322704607046072,0.0118494347762236
adasyn,RandomForest,True,balanced_accuracy,0.9322704607046072,0.0118494347762236
adasyn,RandomForest,True,mcc,,
adasyn,XGBoost,True,average_precision,0.8732346880000491,0.02000925303480766
adasyn,XGBoost,True,roc_auc,0.9704345076784101,0.004385672625037696
adasyn,XGBoost,True,f1_macro,0.8357683747588909,0.008679789155724971
adasyn,XGBoost,True,f1_micro,0.9865319865319866,0.0011798275012665429
adasyn,XGBoost,True,precision_macro,0.7757346720730652,0.013004405833041209
adasyn,XGBoost,True,recall_macro,0.933179945799458,0.0051620653684455444
adasyn,XGBoost,True,balanced_accuracy,0.933179945799458,0.0051620653684455444
adasyn,XGBoost,True,mcc,,
adasyn,MLP,True,average_precision,0.8658126122073062,0.019104825837897414
adasyn,MLP,True,roc_auc,0.9518189701897019,0.01436552051373309
adasyn,MLP,True,f1_macro,0.9238588724873091,0.0035002065511564907
adasyn,MLP,True,f1_micro,0.9952337225064497,0.00026955328186492345
adasyn,MLP,True,precision_macro,0.9304544939033993,0.008799065726745568
adasyn,MLP,True,recall_macro,0.9176102981029809,0.0032126859096224853
adasyn,MLP,True,balanced_accuracy,0.9176102981029809,0.0032126859096224853
adasyn,MLP,True,mcc,,
rus,LogisticRegression,True,average_precision,0.8624004749296699,0.01650586682193956
rus,LogisticRegression,True,roc_auc,0.974825654923216,0.007346150946390062
rus,LogisticRegression,True,f1_macro,0.7026628514240993,0.004774498588676434
rus,LogisticRegression,True,f1_micro,0.9605579605579605,0.0019904336309836236
rus,LogisticRegression,True,precision_macro,0.6384406500168627,0.004191729606186405
rus,LogisticRegression,True,recall_macro,0.9333078590785907,0.009688094191940297
rus,LogisticRegression,True,balanced_accuracy,0.9333078590785907,0.009688094191940297
rus,LogisticRegression,True,mcc,,
rus,RandomForest,True,average_precision,0.8772735354265621,0.030542294355239568
rus,RandomForest,True,roc_auc,0.975337308039747,0.00017534208096949827
rus,RandomForest,True,f1_macro,0.741929175882302,0.03501992096573423
rus,RandomForest,True,f1_micro,0.9700905155450611,0.007906546958820348
rus,RandomForest,True,precision_macro,0.67350209684421,0.029882396610661503
rus,RandomForest,True,recall_macro,0.9328211382113821,0.0167265600548213
rus,RandomForest,True,balanced_accuracy,0.9328211382113821,0.0167265600548213
rus,RandomForest,True,mcc,,
rus,XGBoost,True,average_precision,0.8744175859006079,0.028630250545181878
rus,XGBoost,True,roc_auc,0.9775541102077687,0.004441767130085642
rus,XGBoost,True,f1_macro,0.7198079478250193,0.03345372030660917
rus,XGBoost,True,f1_micro,0.9640998731907823,0.009052082598381405
rus,XGBoost,True,precision_macro,0.6539262084962972,0.028616610501518046
rus,XGBoost,True,recall_macro,0.936440650406504,0.009596132015765533
rus,XGBoost,True,balanced_accuracy,0.936440650406504,0.009596132015765533
rus,XGBoost,True,mcc,,
rus,MLP,True,average_precision,0.8748543605311562,0.02822891373675316
rus,MLP,True,roc_auc,0.971016440831075,0.014862025694498583
rus,MLP,True,f1_macro,0.7721229088970998,0.1027792479575551
rus,MLP,True,f1_micro,0.9688224233678779,0.0245658024574445
rus,MLP,True,precision_macro,0.7230383668105326,0.1092673330266257
rus,MLP,True,recall_macro,0.9321766937669377,0.009431815423976656
rus,MLP,True,balanced_accuracy,0.9321766937669377,0.009431815423976656
rus,MLP,True,mcc,,
