sampler,model,cost_sensitive,metric,mean,std
none,LogisticRegression,False,average_precision,0.8834274409887537,0.01846728831674398
none,LogisticRegression,False,roc_auc,0.9815913279132791,0.004661359886021013
none,LogisticRegression,False,f1_macro,0.9375141436869566,0.009278403490887313
none,LogisticRegression,False,f1_micro,0.9963269054178144,0.0005565578757863327
none,LogisticRegression,False,precision_macro,0.9763145823914878,0.013316145451372208
none,LogisticRegression,False,recall_macro,0.9048379403794038,0.00844467046255025
none,LogisticRegression,False,balanced_accuracy,0.9048379403794038,0.00844467046255025
none,LogisticRegression,False,mcc,,
none,RandomForest,False,average_precision,0.8912997509092699,0.020189376756489043
none,RandomForest,False,roc_auc,0.975908943089431,0.0006010681267924129
none,RandomForest,False,f1_macro,0.9488280023002686,0.005816368674409715
none,RandomForest,False,f1_micro,0.9969828151646333,0.00032132883940486057
none,RandomForest,False,precision_macro,0.9859610455667628,0.00248440152619464
none,RandomForest,False,recall_macro,0.9171663956639566,0.00837811988607258
none,RandomForest,False,balanced_accuracy,0.9171663956639566,0.00837811988607258
none,RandomForest,False,mcc,,
none,XGBoost,False,average_precision,0.8973309650668438,0.01852174714590868
none,XGBoost,False,roc_auc,0.9808180668473351,0.0013714290455015543
none,XGBoost,False,f1_macro,0.9395662050505375,0.006094104176170536
none,XGBoost,False,f1_micro,0.9964580873671783,0.00032132883940486057
none,XGBoost,False,precision_macro,0.9795778382047854,0.009303004074939331
none,XGBoost,False,recall_macro,0.9062373983739839,0.01188470453043908
none,XGBoost,False,balanced_accuracy,0.9062373983739839,0.01188470453043908
none,XGBoost,False,mcc,,
none,MLP,False,average_precision,0.8902009928957546,0.011590753984972994
none,MLP,False,roc_auc,0.9705719963866306,0.009442458487802325
none,MLP,False,f1_macro,0.9444605021480372,0.009161218465789248
none,MLP,False,f1_micro,0.9967641785823603,0.0004829839965537227
none,MLP,False,precision_macro,0.987190873722806,0.0022553185006445433
none,MLP,False,recall_macro,0.9090585365853658,0.014964634803364532
none,MLP,False,balanced_accuracy,0.9090585365853658,0.014964634803364532
none,MLP,False,mcc,,
smote,LogisticRegression,False,average_precision,0.879068413108336,0.023956429264322104
smote,LogisticRegression,False,roc_auc,0.968603071364047,0.012744544223043235
smote,LogisticRegression,False,f1_macro,0.7408553744684054,0.02034798507318314
smote,LogisticRegression,False,f1_micro,0.970309152127334,0.004780897703824943
smote,LogisticRegression,False,precision_macro,0.6718153104332139,0.019555041951096745
smote,LogisticRegression,False,recall_macro,0.9342650406504065,0.010267622642805755
smote,LogisticRegression,False,balanced_accuracy,0.9342650406504065,0.010267622642805755
smote,LogisticRegression,False,mcc,,
smote,RandomForest,False,average_precision,0.8868371534242175,0.020307701243206897
smote,RandomForest,False,roc_auc,0.9754422764227643,0.0027484949311080715
smote,RandomForest,False,f1_macro,0.9350877840307517,0.007586384311717147
smote,RandomForest,False,f1_micro,0.9959770868861778,0.0004829839965537227
smote,RandomForest,False,precision_macro,0.9465122849109274,0.012450626032623176
smote,RandomForest,False,recall_macro,0.9246520325203252,0.011585926216657804
smote,RandomForest,False,balanced_accuracy,0.9246520325203252,0.011585926216657804
smote,RandomForest,False,mcc,,
smote,XGBoost,False,average_precision,0.8840771103382186,0.02216276105639355
smote,XGBoost,False,roc_auc,0.9710383017163506,0.006306331584238473
smote,XGBoost,False,f1_macro,0.8976712423886295,0.01404157905190627
smote,XGBoost,False,f1_micro,0.992872447417902,0.0013392271486390819
smote,XGBoost,False,precision_macro,0.8700022486226878,0.02979215471635212
smote,XGBoost,False,recall_macro,0.9324037940379405,0.00800321451858034
smote,XGBoost,False,balanced_accuracy,0.9324037940379405,0.00800321451858034
smote,XGBoost,False,mcc,,
smote,MLP,False,average_precision,0.8671090009632488,0.014347280560578199
smote,MLP,False,roc_auc,0.9557741644083108,0.014766146167290387
smote,MLP,False,f1_macro,0.9289586870818161,0.005733666598480283
smote,MLP,False,f1_micro,0.9955835410380866,0.0004459328797580198
smote,MLP,False,precision_macro,0.9397563232104206,0.01615989140563166
smote,MLP,False,recall_macro,0.919120867208672,0.0035501316949026946
smote,MLP,False,balanced_accuracy,0.919120867208672,0.0035501316949026946
smote,MLP,False,mcc,,
adasyn,LogisticRegression,False,average_precision,0.8782461741007029,0.022618620981776496
adasyn,LogisticRegression,False,roc_auc,0.9674915989159892,0.0133213757678155
adasyn,LogisticRegression,False,f1_macro,0.6008637261028141,0.006847484570310305
adasyn,LogisticRegression,False,f1_micro,0.9092220910402729,0.006664077458548293
adasyn,LogisticRegression,False,precision_macro,0.5716215605298803,0.003351038275660114
adasyn,LogisticRegression,False,recall_macro,0.9218796747967479,0.005254568594070268
adasyn,LogisticRegression,False,balanced_accuracy,0.9218796747967479,0.005254568594070268
adasyn,LogisticRegression,False,mcc,,
adasyn,RandomForest,False,average_precision,0.8751526245412989,0.017218327403055678
adasyn,RandomForest,False,roc_auc,0.978268292682927,0.0009366008396460507
adasyn,RandomForest,False,f1_macro,0.8878256148560973,0.013628882058434419
adasyn,RandomForest,False,f1_micro,0.9920853557217194,0.001184679451147298
adasyn,RandomForest,False,precision_macro,0.8544712664282788,0.02010058992835735
adasyn,RandomForest,False,recall_macro,0.9293382113821139,0.010127285889732038
adasyn,RandomForest,False,balanced_accuracy,0.9293382113821139,0.010127285889732038
adasyn,RandomForest,False,mcc,,
adasyn,XGBoost,False,average_precision,0.8747331010256779,0.018953380694614004
adasyn,XGBoost,False,roc_auc,0.9712420957542909,0.0034202789645886755
adasyn,XGBoost,False,f1_macro,0.8408637839449796,0.008691570786950552
adasyn,XGBoost,False,f1_micro,0.9870567143294416,0.0011552621289626153
adasyn,XGBoost,False,precision_macro,0.7812818546194981,0.012737560409014838
adasyn,XGBoost,False,recall_macro,0.9361121951219511,0.004505200369565104
adasyn,XGBoost,False,balanced_accuracy,0.9361121951219511,0.004505200369565104
adasyn,XGBoost,False,mcc,,
adasyn,MLP,False,average_precision,0.8594660721243036,0.015336002827299808
adasyn,MLP,False,roc_auc,0.9535011743450769,0.016750218810297684
adasyn,MLP,False,f1_macro,0.9247811293107581,0.006822555516766429
adasyn,MLP,False,f1_micro,0.9952774498229043,0.0005355480656747526
adasyn,MLP,False,precision_macro,0.9312920564941422,0.017474997177963726
adasyn,MLP,False,recall_macro,0.9189653116531166,0.003536619962658759
adasyn,MLP,False,balanced_accuracy,0.9189653116531166,0.003536619962658759
adasyn,MLP,False,mcc,,
rus,LogisticRegression,False,average_precision,0.8624004749296699,0.01650586682193956
rus,LogisticRegression,False,roc_auc,0.974825654923216,0.007346150946390062
rus,LogisticRegression,False,f1_macro,0.7026628514240993,0.004774498588676434
rus,LogisticRegression,False,f1_micro,0.9605579605579605,0.0019904336309836236
rus,LogisticRegression,False,precision_macro,0.6384406500168627,0.004191729606186405
rus,LogisticRegression,False,recall_macro,0.9333078590785907,0.009688094191940297
rus,LogisticRegression,False,balanced_accuracy,0.9333078590785907,0.009688094191940297
rus,LogisticRegression,False,mcc,,
rus,RandomForest,False,average_precision,0.8772742877244929,0.030541199159190274
rus,RandomForest,False,roc_auc,0.9753378500451672,0.00017506318263280204
rus,RandomForest,False,f1_macro,0.741929175882302,0.03501992096573423
rus,RandomForest,False,f1_micro,0.9700905155450611,0.007906546958820348
rus,RandomForest,False,precision_macro,0.67350209684421,0.029882396610661503
rus,RandomForest,False,recall_macro,0.9328211382113821,0.0167265600548213
rus,RandomForest,False,balanced_accuracy,0.9328211382113821,0.0167265600548213
rus,RandomForest,False,mcc,,
rus,XGBoost,False,average_precision,0.8744175859006079,0.028630250545181878
rus,XGBoost,False,roc_auc,0.9775541102077687,0.004441767130085642
rus,XGBoost,False,f1_macro,0.7198079478250193,0.03345372030660917
rus,XGBoost,False,f1_micro,0.9640998731907823,0.009052082598381405
rus,XGBoost,False,precision_macro,0.6539262084962972,0.028616610501518046
rus,XGBoost,False,recall_macro,0.936440650406504,0.009596132015765533
rus,XGBoost,False,balanced_accuracy,0.936440650406504,0.009596132015765533
rus,XGBoost,False,mcc,,
rus,MLP,False,average_precision,0.8748543605311562,0.02822891373675316
rus,MLP,False,roc_auc,0.971016440831075,0.014862025694498583
rus,MLP,False,f1_macro,0.7721229088970998,0.1027792479575551
rus,MLP,False,f1_micro,0.9688224233678779,0.0245658024574445
rus,MLP,False,precision_macro,0.7230383668105326,0.1092673330266257
rus,MLP,False,recall_macro,0.9321766937669377,0.009431815423976656
rus,MLP,False,balanced_accuracy,0.9321766937669377,0.009431815423976656
rus,MLP,False,mcc,,
