sampler,model,average_precision,balanced_accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc
adasyn,LogisticRegression,0.8783684776370366,0.9216130081300813,0.6001497854839658,0.9086973632428178,0.5712393341497318,0.9216130081300813,0.9678016260162602
adasyn,MLP,0.8658126122073062,0.9176102981029809,0.9238588724873091,0.9952337225064497,0.9304544939033993,0.9176102981029809,0.9518189701897019
adasyn,RandomForest,0.8744214675841965,0.9322704607046072,0.8941652487166127,0.9926100835191746,0.8630894691082588,0.9322704607046072,0.9792762420957543
adasyn,XGBoost,0.8732346880000491,0.933179945799458,0.8357683747588909,0.9865319865319866,0.7757346720730652,0.933179945799458,0.9704345076784101
none,LogisticRegression,0.8824228361712746,0.9361311653116532,0.7471132547698636,0.9713586077222441,0.6779224110026817,0.9361311653116532,0.9715902439024391
none,MLP,0.8773028907371829,0.931070460704607,0.8776938359846339,0.9902488084306267,0.8466155984684577,0.931070460704607,0.9604162601626017
none,RandomForest,0.8930158150084934,0.8995956639566396,0.9393582195357412,0.9965018146836329,0.988340365039464,0.8995956639566396,0.9644800361336947
none,XGBoost,0.8968049876399563,0.927650948509485,0.9449245217792567,0.9966329966329965,0.9644013455809285,0.927650948509485,0.9785797651309847
rus,LogisticRegression,0.8624004749296699,0.9333078590785907,0.7026628514240993,0.9605579605579605,0.6384406500168627,0.9333078590785907,0.974825654923216
rus,MLP,0.8748543605311562,0.9321766937669377,0.7721229088970998,0.9688224233678779,0.7230383668105326,0.9321766937669377,0.971016440831075
rus,RandomForest,0.8772735354265621,0.9328211382113821,0.741929175882302,0.9700905155450611,0.67350209684421,0.9328211382113821,0.975337308039747
rus,XGBoost,0.8744175859006079,0.936440650406504,0.7198079478250193,0.9640998731907823,0.6539262084962972,0.936440650406504,0.9775541102077687
smote,LogisticRegression,0.879068413108336,0.9342650406504065,0.7408553744684054,0.970309152127334,0.6718153104332139,0.9342650406504065,0.968603071364047
smote,MLP,0.8671090009632488,0.919120867208672,0.9289586870818161,0.9955835410380866,0.9397563232104206,0.919120867208672,0.9557741644083108
smote,RandomForest,0.8868371534242175,0.9246520325203252,0.9350877840307517,0.9959770868861778,0.9465122849109274,0.9246520325203252,0.9754422764227643
smote,XGBoost,0.8840771103382186,0.9324037940379405,0.8976712423886295,0.992872447417902,0.8700022486226878,0.9324037940379405,0.9710383017163506
