sampler,model,average_precision,balanced_accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc
adasyn,LogisticRegression,0.8782461741007029,0.9218796747967479,0.6008637261028141,0.9092220910402729,0.5716215605298803,0.9218796747967479,0.9674915989159892
adasyn,MLP,0.8594660721243036,0.9189653116531166,0.9247811293107581,0.9952774498229043,0.9312920564941422,0.9189653116531166,0.9535011743450769
adasyn,RandomForest,0.8751526245412989,0.9293382113821139,0.8878256148560973,0.9920853557217194,0.8544712664282788,0.9293382113821139,0.978268292682927
adasyn,XGBoost,0.8747331010256779,0.9361121951219511,0.8408637839449796,0.9870567143294416,0.7812818546194981,0.9361121951219511,0.9712420957542909
none,LogisticRegression,0.8834274409887537,0.9048379403794038,0.9375141436869566,0.9963269054178144,0.9763145823914878,0.9048379403794038,0.9815913279132791
none,MLP,0.8902009928957546,0.9090585365853658,0.9444605021480372,0.9967641785823603,0.987190873722806,0.9090585365853658,0.9705719963866306
none,RandomForest,0.8912997509092699,0.9171663956639566,0.9488280023002686,0.9969828151646333,0.9859610455667628,0.9171663956639566,0.975908943089431
none,XGBoost,0.8973309650668438,0.9062373983739839,0.9395662050505375,0.9964580873671783,0.9795778382047854,0.9062373983739839,0.9808180668473351
rus,LogisticRegression,0.8624004749296699,0.9333078590785907,0.7026628514240993,0.9605579605579605,0.6384406500168627,0.9333078590785907,0.974825654923216
rus,MLP,0.8748543605311562,0.9321766937669377,0.7721229088970998,0.9688224233678779,0.7230383668105326,0.9321766937669377,0.971016440831075
rus,RandomForest,0.8772742877244929,0.9328211382113821,0.741929175882302,0.9700905155450611,0.67350209684421,0.9328211382113821,0.9753378500451672
rus,XGBoost,0.8744175859006079,0.936440650406504,0.7198079478250193,0.9640998731907823,0.6539262084962972,0.936440650406504,0.9775541102077687
smote,LogisticRegression,0.879068413108336,0.9342650406504065,0.7408553744684054,0.970309152127334,0.6718153104332139,0.9342650406504065,0.968603071364047
smote,MLP,0.8671090009632488,0.919120867208672,0.9289586870818161,0.9955835410380866,0.9397563232104206,0.919120867208672,0.9557741644083108
smote,RandomForest,0.8868371534242175,0.9246520325203252,0.9350877840307517,0.9959770868861778,0.9465122849109274,0.9246520325203252,0.9754422764227643
smote,XGBoost,0.8840771103382186,0.9324037940379405,0.8976712423886295,0.992872447417902,0.8700022486226878,0.9324037940379405,0.9710383017163506
